"LIBRARYREFERENCE","FOOTPRINT1","ALLIED PRICE/STOCK","ALLIED_NUMBER","COMMENT","DATASHEET","DATASHEET LINK","DATASHEETS","DETAILED DESCRIPTION","DIGI-KEY PART NUMBER","DISTRIBUTOR","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER","RS PART NUMBER","RS PRICE/STOCK","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"Bridge Rectifier","2W04G","","","W04G-E4/51GI-ND","","http://www.vishay.com/docs/88769/woo5g.pdf","","","W04G-E4/51GI-ND","","","","","Vishay Semiconductor Diodes Division","","","W04G-E4/51","","","","","","","*","BR","1 Phase, 400V, 1.5A"
"Cap1","CAPR5-4X5","","","399-6575-ND","https://content.kemet.com/datasheets/KEM_A4005_ESH.pdf","","","33µF 35V Aluminum Electrolytic Capacitors Radial, Can  2000 Hrs @ 105°C","399-6575-ND","","","","","KEMET","ESH336M035AC3AA","","","","","","","","33µF","","CE","ALU 33uF, 35V"
"Cap2","CAPR5-4X5","","","399-6104-ND","","https://api.kemet.com/component-edge/download/specsheet/ESK107M035AE3AA.pdf","","","399-6104-ND","","","","","KEMET","ESK107M035AE3AA","","","","","","","","100uF","","CE","ALU 100uF, 35V"
"Cap3","RAD-0.3","","","1C20Z5U334M050B-ND","","https://media.digikey.com/pdf/Data%20Sheets/BC%20Components%20PDFs/1C-9C_Series_Rev_Sep_2015.pdf","","","1C20Z5U334M050B-ND","","","","","Vishay BC Components","1C20Z5U334M050B","","","","","","","","0.33uF","","C","CER 0.33uF, 50V"
"Cap4","RAD-0.3","","","BC1160TR-ND","http://www.vishay.com/docs/45171/kseries.pdf","","","0.1µF -20%, +80% 50V Ceramic Capacitor Y5V (F) Radial","BC1160TR-ND","","","","","Vishay BC Components","K104Z15Y5VF5TL2","","","","","","","","0.1uF","","C","CER 0.1uF, 50V"
"Cap5","CAPR5-4X5","","","338-1457-ND","","https://www.cde.com/resources/catalogs/SLP.pdf","","","338-1457-ND","","","","","Cornell Dubilier Electronics (CDE)","SLP103M035C7P3","","","","","","","","10000uF","","CE","ALU, 10000uF, 35V"
"Cap6","RAD-0.3","","","BC5223TB-ND","","","http://www.vishay.com/docs/45171/kseries.pdf","100pF ±5% 50V Ceramic Capacitor C0G, NP0 Radial","BC5223TB-ND","","","","","Vishay BC Components","K101J10C0GF5UH5","","","","","","","","100pF","","C","CER, 100pF, 50V"
"Diode1","SMC","","","1N4007FSCT-ND","","https://www.onsemi.com/pub/Collateral/1N4001-D.PDF","","Diode Standard 1000V 1A Through Hole DO-204AL (DO-41)","1N4007FSCT-ND","","","","","ON Semiconductor","1N4007","","","","","","","","","","D","1N4007"
"Header","HDR2X2","","","Header","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","Altium Limited","","","","","P","Header, 2-Pin"
"Header 6X","HDR2X6","","","MPLAB connector","","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5555165&DocType=Customer+Drawing&DocLang=English","Jack Modular Connector 6p6c (RJ11, RJ12, RJ14, RJ25) 90° Angle (Right) Unshielded Cat3","A31422-ND","","","","","TE Connectivity AMP Connectors","5555165-1","","","","","","","","","","P","MPLAB connector"
