Change Component Footprint: Designator=R4 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R5 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R6 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R7 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R9 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R10 Old Footprint=RES3, 47R, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R12 Old Footprint=RES4, 10K, 0.25W New Footprint=RES4, 10K, 0.25W - duplicate
Change Component Footprint: Designator=R14 Old Footprint=RES4, 10K, 0.25W New Footprint=RES4, 10K, 0.25W - duplicate
Change Component Footprint: Designator=R16 Old Footprint=RES4, 10K, 0.25W New Footprint=RES4, 10K, 0.25W - duplicate
Change Component Footprint: Designator=R0 Old Footprint=RES5, 140R, 0.25W New Footprint=RES5, 140R, 0.25W - duplicate
Change Component Footprint: Designator=R11 Old Footprint=RES6, 3K3, 0.25W New Footprint=RES6, 3K3, 0.25W - duplicate
Change Component Footprint: Designator=R8 Old Footprint=RES7, 47K, 0.25W New Footprint=RES3, 47R, 0.25W - duplicate
Change Component Footprint: Designator=R13 Old Footprint=RES8, 20K, 0.25W New Footprint=RES8, 20K, 0.25W - duplicate
Change Component Footprint: Designator=R17 Old Footprint=RES8, 20K, 0.25W New Footprint=RES8, 20K, 0.25W - duplicate
Change Component Footprint: Designator=R15 Old Footprint=RES9, 180K, 0.25W New Footprint=RES9, 180K, 0.25W - duplicate
